############# 1000 samples #############

### RANDOM ###
0.362899, +/- 0.000015 

### SVR ###
0.142474, +/- 0.000011

### LR ###
0.085342, +/- 0.000107

### MLP ###
0.069093, +/- 0.000017 

### ASO ###
0.075221, +/- 0.000015

### CASO ###
0.078369, +/- 0.000015 

### CMTL ###
0.110768, +/- 0.000008 

######################
MultiLinCFA:
Phase I, LR --> 0.057947777970032845 +/- 0.000014
Phase I+II, LR --> 0.05368646277971736 +/- 0.000013

Phase I, SVM --> 0.1786411283222708
Phase I+II, SVM --> 0.1543711338804372

Phase I, MLP --> 0.05633445950046626 +/- 0.0007171288662625859
Phase I+II, MLP --> 0.04981148455685559 +/- 0.0009362733675202592

############# all  #############

### RANDOM ###
0.235560, +/- 0.000000

### SVR ###
0.092157, +/- 0.000000

### LR ###
0.069057, +/- 0.000000 

### MLP ###
0.044814, +/- 0.000000

### ASO ###
0.049990, +/- 0.000000 

### CASO ###
0.049754, +/- 0.000000

### CMTL ###
0.066888, +/- 0.000002

######################
MultiLinCFA:
Phase I, LR --> 0.03326388274492289
Phase I+II, LR --> 0.03468878722804704

Phase I, SVM --> 0.11949217970899059
Phase I+II, SVM --> 0.11452522348024512

Phase I, MLP --> 0.027823642648199427 +/- 0.00016644906661775048
Phase I+II, MLP --> 0.031248992061649706 +/- 0.00012444411535002709
